topic_a,topic_b,n_a,n_b,U,p_uncorrected,rank_biserial_r
0,177,11452,319,3114789.5,1.0458775480797666e-102,-0.7052
0,178,11452,319,1965651.0,0.02018732019046826,-0.0761
0,179,11452,317,2307509.0,1.5672502798594765e-16,-0.2713
0,180,11452,314,1972893.0,0.0032205296713228495,-0.0973
0,181,11452,307,2110695.5,1.8477693711956513e-09,-0.2007
0,182,11452,307,1780111.5,0.7049095294852845,-0.0126
0,183,11452,306,1779968.5,0.635065451773283,-0.0159
0,184,11452,304,1127183.5,8.197363758101949e-26,0.3525
0,185,11452,302,2405093.0,3.6124821223279495e-31,-0.3908
0,186,11452,301,1993815.5,3.2937150307688285e-06,-0.1568
0,187,11452,297,2147649.0,9.47183213211518e-15,-0.2629
0,188,11452,296,1738255.0,0.4516760560182579,-0.0256
0,189,11452,294,1596905.5,0.13171602192443768,0.0514
0,190,11452,292,1570995.5,0.07750128889924972,0.0604
0,191,11452,291,2599235.0,5.416658314728599e-60,-0.5599
0,192,11452,289,1977894.0,1.3686285344923978e-08,-0.1952
0,193,11452,285,1925493.0,2.0373357548302793e-07,-0.1799
0,194,11452,285,1530985.0,0.07406887681608076,0.0618
0,195,11452,284,759435.5,2.701279583140662e-53,0.533
0,196,11452,284,1486390.0,0.013191438122542427,0.086
0,197,11452,283,979600.5,5.080418831277228e-30,0.3955
0,198,11452,282,2871816.5,7.874026109521401e-111,-0.7785
0,199,11452,282,1495192.0,0.033408768881438226,0.074
0,200,11452,280,1457517.5,0.009235289863273917,0.0909
0,201,11452,279,2555397.5,7.747148800034693e-66,-0.5996
0,202,11452,279,2300847.5,2.6055668211214618e-36,-0.4402
0,203,11452,276,1177907.5,4.4551234662656655e-13,0.2547
0,204,11452,275,1698391.5,0.025720047065999598,-0.0786
0,205,11452,275,1370991.5,0.0002416934342168587,0.1293
0,206,11452,273,1365182.0,0.00034024978892508383,0.1267
0,207,11452,273,1162974.0,4.4551258124328043e-13,0.256
0,208,11452,272,1804831.5,7.335887252029518e-06,-0.1588
0,209,11452,272,2065657.5,3.21562603703754e-20,-0.3263
0,210,11452,271,2621121.0,5.192643371476611e-84,-0.6891
0,211,11452,271,2421046.0,3.8294567113594428e-56,-0.5602
0,212,11452,270,741515.5,1.6111268784261688e-48,0.5204
0,213,11452,268,1841592.0,2.0523068024286453e-08,-0.2001
0,214,11452,268,2267931.5,6.531019654390463e-41,-0.4779
0,215,11452,266,2780052.5,1.6502627220436935e-117,-0.8252
0,216,11452,266,1687223.0,0.00262303657478531,-0.1077
0,217,11452,264,1976024.5,1.2674147161250626e-17,-0.3072
0,218,11452,263,822837.5,2.1936436348919495e-36,0.4536
0,219,11452,259,1337248.5,0.0067374269366723295,0.0983
0,220,11452,256,996649.5,1.7442116417136567e-18,0.3201
0,221,11452,256,1700336.5,1.16490939413096e-05,-0.16
0,222,11452,254,1419724.0,0.5150444216059671,0.0238
0,223,11452,252,1619375.0,0.0008835468246812719,-0.1223
0,224,11452,251,1778885.0,1.0991028000139516e-10,-0.2377
0,225,11452,248,1618239.5,0.0001657902624252897,-0.1396
0,226,11452,246,1417818.0,0.8603267500213903,-0.0065
0,227,11452,246,1845412.0,7.749221187290291e-17,-0.3101
0,228,11452,245,1783459.0,3.4071558508960934e-13,-0.2713
0,229,11452,242,1186968.5,0.0001314333770705279,0.1434
0,230,11452,239,1660208.0,1.618510576846322e-08,-0.2131
0,231,11452,236,1638670.5,2.1428366147254503e-08,-0.2126
0,232,11452,235,1751122.0,2.366785884308688e-15,-0.3014
0,233,11452,230,1345795.0,0.5693493126623289,-0.0219
0,234,11452,230,541472.0,6.1445328058262295e-53,0.5889
0,235,11452,230,1563902.5,1.0822815235392654e-06,-0.1875
0,236,11452,224,1573938.5,5.519101464345437e-09,-0.2271
0,237,11452,220,1855456.0,2.3619399984301298e-33,-0.4729
0,238,11452,218,1709809.5,7.496793504818124e-21,-0.3697
0,239,11452,218,1478344.0,3.0244484969073548e-06,-0.1843
0,240,11452,212,1962580.5,1.3820199930707746e-53,-0.6167
0,241,11452,210,1844965.0,2.660569779178621e-40,-0.5343
0,242,11452,208,863084.0,9.367821876833387e-12,0.2753
0,243,11452,206,1448875.0,1.85099707150987e-08,-0.2283
0,244,11452,205,1864734.0,1.9583657779614839e-47,-0.5886
0,245,11452,204,1770003.5,1.3590301862789926e-36,-0.5153
0,246,11452,204,1013273.0,0.0011536056674537284,0.1325
0,247,11452,204,1574206.0,1.532850872807136e-17,-0.3477
0,248,11452,201,1259547.5,0.021598492080104774,-0.0944
0,249,11452,201,906596.0,2.3709730910469074e-07,0.2123
1,2,7203,7024,22589894.5,2.129482241328621e-28,0.107
1,3,7203,5681,14686282.5,5.069316624094948e-167,0.2822
1,4,7203,5130,26504456.0,0.0,-0.4346
1,5,7203,4439,14017435.0,4.9625812339467126e-29,0.1232
1,6,7203,4390,17017727.0,4.975813359060487e-12,-0.0764
1,7,7203,4293,21461658.0,2.8771052071036446e-266,-0.3881
1,8,7203,4259,14518794.0,1.6672510262123955e-06,0.0535
1,9,7203,4247,21698241.0,2.4254102462903066e-307,-0.4186
1,10,7203,3952,17942097.5,4.642717302352815e-115,-0.2606
1,11,7203,3748,5864042.5,0.0,0.5656
1,12,7203,3682,8684472.0,2.6269817092124837e-191,0.3451
