topic_id,n,mean,median,median_ci_lo,median_ci_hi,std
146,427,0.11819945520753274,0.0001837611198425293,0.00015983879566192627,0.0002148747444152832,0.22617952935083457
211,271,0.013014367695664128,0.0001805424690246582,0.00017338991165161133,0.00018841028213500977,0.06983437223529693
202,279,0.05757380038418258,0.0001780390739440918,0.00016260147094726562,0.00019234418869018555,0.1553400449255913
121,535,0.03630592699677283,0.00017791986465454102,0.00016891956329345703,0.00018733739852905273,0.12304564974443304
209,272,0.10334965270393535,0.00017684698104858398,0.0001595601439476013,0.00021797418594360352,0.20053480475552185
22,2094,0.04496862473148914,0.00017571449279785156,0.0001704663038253784,0.00018221437931060792,0.1501445485876055
67,950,0.05073754667237058,0.00017523765563964844,0.00016683340072631836,0.00018662512302398683,0.1366921633282466
238,218,0.0701479774209833,0.00017315149307250977,0.00015628039836883544,0.00019484907388687134,0.1463999411561052
80,829,0.062444739146085074,0.0001723766326904297,0.00016427040100097656,0.0001837611198425293,0.17260641441543156
241,210,0.029156519426032902,0.00017142295837402344,0.00015652179718017578,0.00019431114196777344,0.10819779258986321
237,220,0.0632958281875207,0.00017058849334716797,0.00015401840209960938,0.00019341707229614258,0.185409233677862
75,908,0.04175190957421004,0.00016897916793823242,0.00015968084335327148,0.00017798990011215208,0.15359308125711066
46,1257,0.0686036300022086,0.00016820430755615234,0.00015985965728759766,0.00017660856246948242,0.19081914419974433
59,1049,0.07829789340640778,0.00016379356384277344,0.00015592575073242188,0.00017374753952026367,0.1937783755378466
201,279,0.019088337818781536,0.00016176700592041016,0.0001500844955444336,0.00017338991165161133,0.08152191871923212
244,205,0.024705370306321306,0.00015997886657714844,0.00014841556549072266,0.0001794755458831787,0.10713606574206885
7,4293,0.053976687349889356,0.00015854835510253906,0.00015616416931152344,0.00016188621520996094,0.15595088538692456
141,450,0.032949051277505026,0.0001583695411682129,0.00014829635620117188,0.00017058849334716797,0.10440679929314185
9,4247,0.04078351051465167,0.00015687942504882812,0.00015437602996826172,0.0001593858003616333,0.13551097069209533
170,341,0.03891038042807247,0.00015306472778320312,0.0001480579376220703,0.0001646280288696289,0.12117240558350152
4,5130,0.04938912703120104,0.00015121698379516602,0.00014901161193847656,0.00015396028757095337,0.15794842864170422
240,212,0.021820050962011214,0.00014793872833251953,0.0001404285430908203,0.0001583099365234375,0.09146838943080804
58,1049,0.09270540951131974,0.0001475811004638672,0.00014162063598632812,0.00015497207641601562,0.19305164997242763
210,271,0.0034583402295834025,0.00014698505401611328,0.00014221668243408203,0.00015401840209960938,0.02639878057363883
177,319,0.010557845006601996,0.0001424551010131836,0.0001392364501953125,0.00014901161193847656,0.06228376599455088
149,407,0.01926241797785199,0.0001418590545654297,0.00013840198516845703,0.00014460086822509766,0.08502579607589589
215,266,0.010472997014683889,0.0001392364501953125,0.00013780593872070312,0.00014132410287857056,0.04981324273675924
198,282,0.016996098325607625,0.0001386404037475586,0.00013720989227294922,0.00013995319604873658,0.06269860501084783
37,1385,0.039396922047386984,0.00013756752014160156,0.00013589859008789062,0.00013900101184844972,0.13724378542755328
115,575,0.046683420091260065,0.0001361370086669922,0.0001329183578491211,0.0001399517059326172,0.14173210360529526
52,1173,0.03651738299959727,0.0001347064971923828,0.00013196468353271484,0.0001373291015625,0.14228395964666066
101,644,0.01944431494019408,0.00012934207916259766,0.00012826919555664062,0.0001304149627685547,0.08681914728982236
151,401,0.024033594261065237,0.00012362003326416016,0.0001232624053955078,0.00012445449829101562,0.1023442416108603
